reference,customer_name,phone_number,address,order_id,order_total
1627777189,Jacob Walsh,+1-354-269-2027,"43334 Henry Road Apt. 774, Sarahland, Vermont, Romania, 74404",eb6d0c84-df1e-4507-8d47-d0992d55e3aa,50430
1147801229,Diana Bryant,397-805-1357x10292,"197 Garcia Centers, South Danielstad, Nevada, Angola, 11180",c7937cfc-57d5-4b10-a61c-d1318a77abcb,11971
8317742748,Timothy Campbell,661.529.4190,"13663 Soto Streets Apt. 096, Josephmouth, Minnesota, Central African Republic, 00510",fa4858ec-ce1b-45e7-98fc-a81366ba4ff5,4052
3496349653,Timothy Taylor,249-952-6017x1202,"335 Fisher Crossroad, East Stanley, Mississippi, Pitcairn Islands, 71124",ed62dd4c-ba16-478d-ab35-a924a9894439,31957
4987995631,Cynthia Smith,845-485-6421x4163,"8653 Smith Roads, Caseytown, Delaware, Turks and Caicos Islands, 09197",78efe8d2-1559-4c36-a8cc-22066e9bfc02,24656
2964241305,Kara Perez,745.891.7633x258,"627 Williams Manor Suite 410, Davisburgh, Alaska, Finland, 59379",c18982ab-6742-4186-a25b-61a991d439d4,11018
6350590685,Susan Farmer,(977)556-4925,"003 Melendez Place Suite 993, Lawrencefurt, Maryland, Namibia, 96797",46d20cd3-1b2b-44f0-9272-bfe9e5828363,48554
6801520076,Jeffrey Walker,304.915.5011x069,"44773 Carter Light, Jesusside, Georgia, Tonga, 24587",500c43f9-30ee-43ed-8de8-6fe07ff351e8,16578
2779334697,Julie Lee,+1-930-859-0350x15194,"994 Zachary Crossing Suite 565, Rogerstown, Ohio, Togo, 26695",d64cf28c-5206-4ed5-968a-c010cf9f6854,2936
7832137175,Darren Miller,+1-811-275-7121x64255,"749 Kara Radial Suite 817, Pageville, Kansas, Saint Pierre and Miquelon, 26479",005f222e-3de4-4d35-bdc4-347b4db429c8,9060
6923402026,Anita Sandoval,(326)346-5980x59246,"2446 Megan Plaza Suite 700, West Jenniferborough, Missouri, Anguilla, 73954",fca2c21c-0284-4879-ba5a-c69584523c72,24761
6449963976,Kristi Pacheco,001-584-632-9061x2197,"96606 Andrea Walks Apt. 349, Peterburgh, Arizona, Belize, 22534",d65c7e0e-f972-4dd3-9abc-a9c380b604d1,32131
6189938656,Nicole Tanner,382.702.4589x4489,"3439 Cooley Squares Apt. 232, Lake Michael, North Dakota, Singapore, 45080",b428b6cb-a0b6-4ada-b965-d969fef0b903,27993
4775888969,Cody Castro,(478)344-2458x261,"0678 Ayala Squares Apt. 887, Warrenmouth, Tennessee, Costa Rica, 51759",c595a3f9-bb03-4bdc-b3a8-dc0cde31f840,1277
2695007251,Michael Randall,+1-978-752-0438x7539,"41669 Morrison Route Apt. 765, Scotthaven, South Dakota, Myanmar, 83944",39184c1a-27b6-4e32-9c01-2234286d2e37,22984
