order_id,event_id,total,currency,channel,customer_reference,is_manual,is_test
eb6d0c84-df1e-4507-8d47-d0992d55e3aa,1,50430,USD,Online Store,gid://shopify/Customer/1627777189,False,False
c7937cfc-57d5-4b10-a61c-d1318a77abcb,2,11971,GBP,Online Store,gid://shopify/Customer/1147801229,False,False
fa4858ec-ce1b-45e7-98fc-a81366ba4ff5,3,4052,USD,Online Store,gid://shopify/Customer/8317742748,False,False
ed62dd4c-ba16-478d-ab35-a924a9894439,4,31957,USD,Online Store,gid://shopify/Customer/3496349653,False,False
78efe8d2-1559-4c36-a8cc-22066e9bfc02,5,24656,SEK,Online Store,gid://shopify/Customer/4987995631,False,False
c18982ab-6742-4186-a25b-61a991d439d4,6,11018,SEK,Online Store,gid://shopify/Customer/2964241305,False,False
46d20cd3-1b2b-44f0-9272-bfe9e5828363,7,48554,SEK,Online Store,gid://shopify/Customer/6350590685,False,False
500c43f9-30ee-43ed-8de8-6fe07ff351e8,8,16578,EUR,Online Store,gid://shopify/Customer/6801520076,False,False
d64cf28c-5206-4ed5-968a-c010cf9f6854,9,2936,USD,Online Store,gid://shopify/Customer/2779334697,False,False
005f222e-3de4-4d35-bdc4-347b4db429c8,10,9060,USD,Online Store,gid://shopify/Customer/7832137175,False,False
fca2c21c-0284-4879-ba5a-c69584523c72,11,24761,USD,Online Store,gid://shopify/Customer/6923402026,False,False
d65c7e0e-f972-4dd3-9abc-a9c380b604d1,12,32131,USD,Online Store,gid://shopify/Customer/6449963976,False,False
b428b6cb-a0b6-4ada-b965-d969fef0b903,13,27993,EUR,Online Store,gid://shopify/Customer/6189938656,False,False
c595a3f9-bb03-4bdc-b3a8-dc0cde31f840,14,1277,EUR,Online Store,gid://shopify/Customer/4775888969,False,False
39184c1a-27b6-4e32-9c01-2234286d2e37,15,22984,SEK,Online Store,gid://shopify/Customer/2695007251,False,False
c525a17f-8186-4c11-9fc8-4f0634e4b86f,16,16575,GBP,Online Store,gid://shopify/Customer/8001796306,False,False
0d869f2e-75b0-4347-b604-8437b5ac15d8,17,41991,USD,Online Store,gid://shopify/Customer/7115779771,False,False
56612376-1312-4519-a631-d7a11691ba40,18,52388,EUR,Online Store,gid://shopify/Customer/2749398250,False,False
ba87d1a4-9630-40bd-99cd-63273f1b97e0,19,20183,GBP,Online Store,gid://shopify/Customer/6964514220,False,False
db291689-c710-40ec-b75a-a9c6b9249ad4,20,23948,EUR,Online Store,gid://shopify/Customer/5205687415,False,False
471c09cb-8510-440d-b97a-00c3f9b31cd9,21,37150,SEK,Online Store,gid://shopify/Customer/1780236250,False,False
586e5d29-3acb-479e-9c66-b8040627bf61,22,23855,GBP,Online Store,gid://shopify/Customer/1773212381,False,False
538cc26e-6af8-4c1b-a853-18c300a5a5a8,23,31468,EUR,Online Store,gid://shopify/Customer/4537368019,False,False
4462f2ea-de32-4e71-85d9-285374fbf4ec,24,16370,GBP,Online Store,gid://shopify/Customer/9535657964,False,False
213bbe59-f306-4b13-ba44-59c090369a89,25,12370,SEK,Online Store,gid://shopify/Customer/8064888369,False,False
97f9335a-243d-417b-bbf7-2180d6ef0fe2,26,53122,USD,Online Store,gid://shopify/Customer/3365254155,False,False
ab63994c-ee26-4762-b39c-3fff855c4386,27,14200,SEK,Online Store,gid://shopify/Customer/3659649275,False,False
1d79bdfe-4539-4a05-8311-a3ad0fb8af80,28,39115,GBP,Online Store,gid://shopify/Customer/7310396089,False,False
